Palabra,ID_doc,Frecuencia
both,3,1
both,19,1
both,4,1
bought,10,1
boxer,19,2
brainnthe,20,1
brand,4,1
brand,6,1
brand,11,1
brand,25,3
brand,30,4
brand,29,1
brand,28,3
brand,7,2
brand,14,1
brand,10,1
brand,8,1
brand,17,2
brand,2,2
brand,26,1
brand,12,1
brand,16,5
brandcadillac,26,1
branded,28,1
branded,29,1
brands,29,2
brands,28,1
brands,11,2
brands,26,2
brands,25,1
brands,8,1
brands,3,1
brands,12,1
brands,2,2
bratislava,6,1
brazil,12,1
breeding,20,1
bridge,20,1
british,29,1
british,6,1
british,17,1
broadleaf,20,1
brothers,12,1
brothers,30,3
brothers,29,1
brought,29,1
brought,8,1
brussels,25,1
brz,19,1
bugatti,10,5
buick,26,1
buick,29,1
build,16,1
building,30,1
builds,26,1
built,7,1
built,30,1
built,16,1
buses,23,1
business,4,1
business,10,1
business,30,1
business,29,2
businesses,14,1
but,26,1
but,28,1
but,20,1
but,30,1
but,19,1
but,8,1
but,6,1
buyers,30,1
buyers,19,1
by,19,2
by,28,2
by,4,1
by,12,3
by,17,3
by,25,1
by,5,1
by,26,2
by,23,2
by,11,2
by,14,2
by,18,2
by,1,2
by,30,6
by,8,4
by,29,7
by,16,6
by,20,3
by,7,3
by,6,2
by,3,4
by,27,1
by,21,1
by,10,1
by,15,1
c,16,1
cadillac,26,7
called,28,1
called,2,1
called,7,1
camaro,16,2
canada,26,1
canadian,29,1
cap,27,1
capabilities,19,1
capital,29,1
capital,30,1
capitalisation,7,1
capitalisation,23,1
car,7,4
car,19,1
car,16,4
car,17,1
car,11,1
car,29,1
car,25,1
car,2,2
car,22,1
car,26,3
car,3,1
carapaces,20,1
caravan,30,1
carnthe,10,1
cars,10,3
cars,19,3
cars,7,4
cars,23,3
cars,27,1
cars,12,2
cars,18,1
cars,30,4
cars,2,1
cars,25,1
cars,8,1
cars,3,1
cars,6,1
cat,20,2
cause,30,1
caused,30,1
caused,27,1
cayenne,18,1
cc,19,1
cell,3,1
centered,25,1
centers,25,1
centersnsince,25,1
centnlamborghini,8,1
cento,8,1
central,28,1
central,20,2
century,23,1
century,11,1
century,2,1
ceo,29,1
cerberus,29,1
cerberus,30,1
chaebol,22,1
chainnhyundai,22,1
champion,7,1
championship,7,1
championships,7,1
changed,8,1
changed,1,1
changes,30,1
changing,29,1
chapter,29,1
chapter,30,1
charger,30,1
chev,16,1
chevrolet,16,20
chevroletnin,16,1
chevy,16,2
china,12,1
china,17,1
china,6,1
china,14,1
china,2,1
china,26,1
china,3,1
chip,22,1
christian,28,1
chrysler,28,2
chrysler,7,1
chrysler,29,25
chrysler,8,1
chrysler,30,7
chryslers,30,2
cirrhosis,30,1
cis,16,1
city,10,1
city,3,1
civil,22,2
civilian,28,3
civilizations,20,1
cj,28,1
clashless,26,1
clean,24,1
closed,30,1
club,26,1
cluster,19,1
co,30,1
co,1,2
